0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,1,3,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,1,3,2,1,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,1,1,2,1,0,0,0,0,0
0,0,0,0,0,0,0,4,2,0,0,2,0,0,4,2,0,0,0,0
0,0,0,0,0,0,0,2,6,4,2,2,1,0,2,3,1,0,0,0
0,2,2,2,2,2,0,0,4,8,6,4,2,3,1,4,5,3,2,2
0,0,1,1,1,1,1,0,2,6,10,8,6,4,2,2,3,4,2,1
0,0,0,0,0,0,3,1,0,4,8,9,7,5,3,1,1,2,3,1
0,0,0,0,0,0,1,2,0,2,6,7,11,9,7,5,3,1,1,2
0,2,2,2,2,2,0,0,1,2,4,5,9,13,11,9,7,5,3,3
0,0,1,1,1,1,1,2,2,0,2,6,7,11,15,13,11,9,7,5
0,0,0,0,0,0,3,1,1,1,0,4,5,9,13,14,12,10,8,6
0,0,0,0,0,0,2,2,0,0,0,2,3,7,11,12,13,11,9,7
0,0,0,0,0,0,2,1,1,0,0,0,1,5,9,10,11,12,10,8
0,0,0,0,0,0,2,1,0,0,0,0,0,3,7,8,9,10,11,9
0,0,0,0,0,0,2,1,0,0,0,0,0,1,5,6,7,8,9,10
